scan_index,scan_start_stamp,scan_end_stamp,reference_stamp,status,reason,point_count_in,point_count_out,coverage_begin_stamp,coverage_end_stamp,max_state_gap_sec,max_gap_gate_sec,max_velocity_norm_mps,max_acc_world_norm_mps2,max_gyro_norm_radps,coverage_gate_passed,point_count_preserved,reference_equals_selected_boundary,ndt_stamp_matches_reference,future_measurement_csv_field,current_scan_ndt_leakage_csv_field,future_imu_evidence,current_ndt_evidence,csv_zero_fields_are_independent_counters
13,1660857393.702107,1660857393.8029463,1660857393.702107,PUBLISHED,covered_and_deskewed,28508,28508,1660857393.5208321,1660857393.80584,0.0050082206726074219,0.02,0.003127684927527837,0.053698847787834805,0.0039920181231743075,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
14,1660857393.8029671,1660857393.9038062,1660857393.8029671,PUBLISHED,covered_and_deskewed,28504,28504,1660857393.5208321,1660857393.9058399,0.0050079822540283203,0.02,0.14565087337351143,0.39754291762600358,0.0035826339188054549,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
15,1660857393.903827,1660857394.0046103,1660857393.903827,PUBLISHED,covered_and_deskewed,28492,28492,1660857393.5208321,1660857394.0057919,0.0050082206726074219,0.02,0.17167077674182205,0.39630605815992137,0.0035340802973647415,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
16,1660857394.004631,1660857394.1054702,1660857394.004631,PUBLISHED,covered_and_deskewed,28488,28488,1660857393.5208321,1660857394.105792,0.0050082206726074219,0.02,0.27491093429791902,0.39694462688809495,0.0038110450195265361,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
17,1660857394.1054909,1660857394.2063303,1660857394.1054909,PUBLISHED,covered_and_deskewed,28502,28502,1660857393.5208321,1660857394.210784,0.0050079822540283203,0.02,0.27772147418028398,0.39931099029083117,0.00426605320048133,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
18,1660857394.206351,1660857394.3071902,1660857394.206351,PUBLISHED,covered_and_deskewed,28516,28516,1660857393.5208321,1660857394.3107841,0.0050082206726074219,0.02,0.27072233942514545,0.41802534677591235,0.0038210574049572714,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
19,1660857394.3072109,1660857394.4080503,1660857394.3072109,PUBLISHED,covered_and_deskewed,28505,28505,1660857393.5208321,1660857394.410784,0.0050079822540283203,0.02,0.21864105529666691,0.43269906481895121,0.0033977647075249641,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
20,1660857394.408071,1660857394.5089102,1660857394.408071,PUBLISHED,covered_and_deskewed,28491,28491,1660857393.5208321,1660857394.5107839,0.0050079822540283203,0.02,0.17356301518105072,0.44562017182849784,0.0036886056290617074,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
21,1660857394.5089309,1660857394.6097703,1660857394.5089309,PUBLISHED,covered_and_deskewed,28522,28522,1660857393.5208321,1660857394.6107841,0.0050082206726074219,0.02,0.11408798103645447,0.49644532762589527,0.0033724188697237139,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
22,1660857394.609791,1660857394.7106302,1660857394.609791,PUBLISHED,covered_and_deskewed,28509,28509,1660857393.5208321,1660857394.710784,0.0050079822540283203,0.02,0.10513024628205661,0.4712856689381747,0.0035589219064113505,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
23,1660857394.7106509,1660857394.8114893,1660857394.7106509,PUBLISHED,covered_and_deskewed,28503,28503,1660857393.5208321,1660857394.8157921,0.0050082206726074219,0.02,0.11877591652102101,0.48234754061354213,0.0038472753068821532,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
24,1660857394.811511,1660857394.9123492,1660857394.811511,PUBLISHED,covered_and_deskewed,28474,28474,1660857393.5208321,1660857394.915792,0.0050079822540283203,0.02,0.1229462372109017,0.50415050446275367,0.0035488833248539346,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
25,1660857394.9123709,1660857395.0131543,1660857394.9123709,PUBLISHED,covered_and_deskewed,28500,28500,1660857393.5208321,1660857395.015728,0.0050079822540283203,0.02,0.11969608065398958,0.49578530690662453,0.0036657153048725408,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
26,1660857395.013175,1660857395.1140144,1660857395.013175,PUBLISHED,covered_and_deskewed,28479,28479,1660857393.5208321,1660857395.1157279,0.0050079822540283203,0.02,0.14208640533760797,0.50319612353495569,0.0036674147855389055,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
27,1660857395.1140349,1660857395.2148743,1660857395.1140349,PUBLISHED,covered_and_deskewed,28499,28499,1660857393.5208321,1660857395.215728,0.0050082206726074219,0.02,0.12703744265689446,0.47608922943905063,0.0040288165294075579,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
28,1660857395.214895,1660857395.3157344,1660857395.214895,PUBLISHED,covered_and_deskewed,28478,28478,1660857393.5208321,1660857395.32072,0.0050079822540283203,0.02,0.1419726101167422,0.44509160975553641,0.00360174034415997,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
29,1660857395.3157549,1660857395.4165943,1660857395.3157549,PUBLISHED,covered_and_deskewed,28475,28475,1660857393.5208321,1660857395.4207201,0.0050082206726074219,0.02,0.15993087155417895,0.45203724826436786,0.004203491771775641,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
30,1660857395.416615,1660857395.5174544,1660857395.416615,PUBLISHED,covered_and_deskewed,28505,28505,1660857393.5208321,1660857395.52072,0.0050079822540283203,0.02,0.11506213161102258,0.44062217477795806,0.0035090012500095876,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
31,1660857395.5174749,1660857395.6183143,1660857395.5174749,PUBLISHED,covered_and_deskewed,28533,28533,1660857393.620832,1660857395.6207199,0.0050079822540283203,0.02,0.11461530992345242,0.42381031271082187,0.0039939414750770289,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
32,1660857395.618335,1660857395.7191744,1660857395.618335,PUBLISHED,covered_and_deskewed,28510,28510,1660857393.7208321,1660857395.7207201,0.0050082206726074219,0.02,0.10641124382766748,0.41607530261846548,0.0035557639559990429,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
33,1660857395.7191949,1660857395.8200343,1660857395.7191949,PUBLISHED,covered_and_deskewed,28509,28509,1660857393.820832,1660857395.82072,0.0050079822540283203,0.02,0.1126175863424704,0.4308271024018529,0.0035422462353600108,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
34,1660857395.820055,1660857395.9208944,1660857395.820055,PUBLISHED,covered_and_deskewed,28493,28493,1660857393.9258399,1660857395.9257281,0.0050082206726074219,0.02,0.10100140110864994,0.43032393801905872,0.0038571856789840712,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
35,1660857395.9209149,1660857396.0216982,1660857395.9209149,PUBLISHED,covered_and_deskewed,28476,28476,1660857394.0257919,1660857396.0256801,0.0050079822540283203,0.02,0.09337035360497542,0.42455139657279578,0.0038029882386076733,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
36,1660857396.021719,1660857396.1225584,1660857396.021719,PUBLISHED,covered_and_deskewed,28465,28465,1660857394.125792,1660857396.12568,0.0050079822540283203,0.02,0.095479677497523813,0.4382852377008129,0.0035535444774101952,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
37,1660857396.1225791,1660857396.2234182,1660857396.1225791,PUBLISHED,covered_and_deskewed,28477,28477,1660857394.2257919,1660857396.2256801,0.0050082206726074219,0.02,0.10835548837080897,0.44278301717459528,0.0037012360337450529,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
38,1660857396.223439,1660857396.3242784,1660857396.223439,PUBLISHED,covered_and_deskewed,28452,28452,1660857394.3257921,1660857396.32568,0.0050082206726074219,0.02,0.081162614772858716,0.43104566264552269,0.003930050007764526,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
39,1660857396.3242991,1660857396.4251382,1660857396.3242991,PUBLISHED,covered_and_deskewed,28477,28477,1660857394.425792,1660857396.4256799,0.0050079822540283203,0.02,0.048762532486582667,0.44890655129931989,0.0035603137984939704,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
40,1660857396.425159,1660857396.5259984,1660857396.425159,PUBLISHED,covered_and_deskewed,28483,28483,1660857394.5307839,1660857396.5306721,0.0050082206726074219,0.02,0.057642241544367159,0.41588088118464572,0.0039133782116628985,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
41,1660857396.5260191,1660857396.6268582,1660857396.5260191,PUBLISHED,covered_and_deskewed,28501,28501,1660857394.630784,1660857396.630672,0.0050079822540283203,0.02,0.061024748133595826,0.44510592534759258,0.0035985975375533554,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
42,1660857396.626879,1660857396.7277153,1660857396.626879,PUBLISHED,covered_and_deskewed,28465,28465,1660857394.7307839,1660857396.7306719,0.0050082206726074219,0.02,0.093305440230046263,0.44680498369643296,0.0036206667165380197,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
43,1660857396.7277391,1660857396.8285773,1660857396.7277391,PUBLISHED,covered_and_deskewed,28472,28472,1660857394.8307841,1660857396.830672,0.0050082206726074219,0.02,0.13466590622059343,0.4442735048826002,0.0040493878820260744,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
44,1660857396.828599,1660857396.9294374,1660857396.828599,PUBLISHED,covered_and_deskewed,28505,28505,1660857394.930784,1660857396.9306719,0.0050079822540283203,0.02,0.13058747832633724,0.46078539454927542,0.0034689030343941349,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
45,1660857396.9294579,1660857397.0302422,1660857396.9294579,PUBLISHED,covered_and_deskewed,28448,28448,1660857395.03072,1660857397.0306079,0.0050082206726074219,0.02,0.10083861675407334,0.44218388371180956,0.0037353671426471938,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
46,1660857397.0302629,1660857397.1311023,1660857397.0302629,PUBLISHED,covered_and_deskewed,28500,28500,1660857395.1357279,1660857397.1356161,0.0050082206726074219,0.02,0.083194410104539845,0.45003307405239285,0.0033908463257155555,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
47,1660857397.1311231,1660857397.2319622,1660857397.1311231,PUBLISHED,covered_and_deskewed,28498,28498,1660857395.235728,1660857397.235616,0.0050079822540283203,0.02,0.070554152012630461,0.44079129803275036,0.003865352952912984,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
48,1660857397.2319829,1660857397.3328223,1660857397.2319829,PUBLISHED,covered_and_deskewed,28489,28489,1660857395.3357279,1660857397.3356161,0.0050082206726074219,0.02,0.063513870183238355,0.44111039802945656,0.0032738919420618341,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
49,1660857397.3328431,1660857397.4336822,1660857397.3328431,PUBLISHED,covered_and_deskewed,28515,28515,1660857395.4357281,1660857397.435616,0.0050082206726074219,0.02,0.079182134094166245,0.45278811529645036,0.0038289808706349622,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
50,1660857397.4337029,1660857397.5345423,1660857397.4337029,PUBLISHED,covered_and_deskewed,28508,28508,1660857395.535728,1660857397.5356159,0.0050079822540283203,0.02,0.10432480239070321,0.43715470828786035,0.0039459600512432884,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
51,1660857397.5345631,1660857397.6354022,1660857397.5345631,PUBLISHED,covered_and_deskewed,28518,28518,1660857395.6357279,1660857397.6356161,0.0050082206726074219,0.02,0.11416153456517002,0.43939231859769035,0.0036048081306764295,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
52,1660857397.6354229,1660857397.7362623,1660857397.6354229,PUBLISHED,covered_and_deskewed,28487,28487,1660857395.74072,1660857397.740608,0.0050079822540283203,0.02,0.15026033887374746,0.44833847678349642,0.0034770395453807027,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
53,1660857397.7362831,1660857397.8371222,1660857397.7362831,PUBLISHED,covered_and_deskewed,28518,28518,1660857395.8407199,1660857397.8406079,0.0050082206726074219,0.02,0.18796864431806118,0.45185915737133758,0.0030332870940694115,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
54,1660857397.8371429,1660857397.9379823,1660857397.8371429,PUBLISHED,covered_and_deskewed,28512,28512,1660857395.9407201,1660857397.940608,0.0050082206726074219,0.02,0.16449894623207714,0.43455605496650346,0.0041779960401971553,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
55,1660857397.9380031,1660857398.0387864,1660857397.9380031,PUBLISHED,covered_and_deskewed,28508,28508,1660857396.0406721,1660857398.04056,0.0050079822540283203,0.02,0.16104598054821254,0.43657046782695397,0.0033133911525888723,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
56,1660857398.0388069,1660857398.1396463,1660857398.0388069,PUBLISHED,covered_and_deskewed,28516,28516,1660857396.140672,1660857398.1405599,0.0050079822540283203,0.02,0.1511807511163632,0.42757704872309338,0.0037397355830776392,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
57,1660857398.139667,1660857398.2405064,1660857398.139667,PUBLISHED,covered_and_deskewed,28516,28516,1660857396.2406721,1660857398.2405601,0.0050082206726074219,0.02,0.1267497323895232,0.40883372651833422,0.0037953504597834178,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
58,1660857398.2405269,1660857398.3413663,1660857398.2405269,PUBLISHED,covered_and_deskewed,28507,28507,1660857396.34568,1660857398.3455679,0.0050079822540283203,0.02,0.093979936020398475,0.42461679768470673,0.0041203170961587486,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
59,1660857398.341387,1660857398.4422264,1660857398.341387,PUBLISHED,covered_and_deskewed,28536,28536,1660857396.4456799,1660857398.4455681,0.0050082206726074219,0.02,0.049438885641522504,0.41575247127135423,0.0041525868577089609,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
60,1660857398.4422469,1660857398.5430863,1660857398.4422469,PUBLISHED,covered_and_deskewed,28528,28528,1660857396.54568,1660857398.545568,0.0050079822540283203,0.02,0.054051072991212749,0.4205033283110885,0.0040164625036060763,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
61,1660857398.543107,1660857398.6439464,1660857398.543107,PUBLISHED,covered_and_deskewed,28489,28489,1660857396.64568,1660857398.6455679,0.0050079822540283203,0.02,0.059770917276011401,0.41541608872993496,0.0036684996198328326,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
